SKU_ID,Lag_Period,Model,Date,Actual,Forecast,Error,Abs_Error
1,12,XGBoost,2023-11-30,731.2340999,692.98724,38.2468562476563,38.2468562476563
1,12,XGBoost,2023-12-31,852.1713341,807.94305,44.22827990078122,44.22827990078122
1,12,XGBoost,2024-01-31,721.7800454000001,832.8737,-111.09367286171869,111.09367286171869
1,12,XGBoost,2024-02-29,805.6296277,808.3996,-2.7699694679687354,2.7699694679687354
1,12,XGBoost,2024-03-31,1068.084289,799.0233,269.0609735703124,269.0609735703124
1,12,XGBoost,2024-04-30,819.7981714,701.10065,118.69752442734375,118.69752442734375
1,12,XGBoost,2024-05-31,785.1561058,770.03265,15.123451991406228,15.123451991406228
1,12,XGBoost,2024-06-30,920.0695912,830.13257,89.93702284062499,89.93702284062499
2,12,XGBoost,2023-07-31,989.9108613999999,858.4041,131.50674763046868,131.50674763046868
2,12,XGBoost,2023-08-31,708.4571063000001,751.1181,-42.66099672734367,42.66099672734367
2,12,XGBoost,2023-09-30,677.4273785,743.1578,-65.73039737890622,65.73039737890622
2,12,XGBoost,2023-10-31,959.0311681000001,869.33325,89.69791614687506,89.69791614687506
2,12,XGBoost,2023-11-30,699.165738,723.70355,-24.537814246093717,24.537814246093717
2,12,XGBoost,2023-12-31,1038.023498,781.52155,256.50195258984377,256.50195258984377
2,12,XGBoost,2024-01-31,716.257886,795.95593,-79.69804661718752,79.69804661718752
2,12,XGBoost,2024-02-29,813.968407,775.64404,38.32436403124996,38.32436403124996
2,12,XGBoost,2024-03-31,971.7714255,773.6984,198.0730002070312,198.0730002070312
2,12,XGBoost,2024-04-30,763.6624749,721.96234,41.70013359140626,41.70013359140626
2,12,XGBoost,2024-05-31,817.3517658999999,774.45514,42.89662673984367,42.89662673984367
2,12,XGBoost,2024-06-30,924.7738896,771.1884,153.5854740726562,153.5854740726562
3,12,XGBoost,2023-07-31,811.0266978999999,688.1478,122.87887075156243,122.87887075156243
3,12,XGBoost,2023-08-31,774.8945021,788.65985,-13.765348974218796,13.765348974218796
3,12,XGBoost,2023-09-30,832.056039,907.98254,-75.92650494531244,75.92650494531244
3,12,XGBoost,2023-10-31,1151.4042728,1058.0656,93.33872104218744,93.33872104218744
3,12,XGBoost,2023-11-30,956.50535,878.0232,78.48215664062502,78.48215664062502
3,12,XGBoost,2023-12-31,1151.7833992,782.8722,368.9112068171876,368.9112068171876
3,12,XGBoost,2024-01-31,845.1081423,849.3801,-4.271984653124946,4.271984653124946
3,12,XGBoost,2024-02-29,750.5984798,860.7193,-110.1208195164063,110.1208195164063
3,12,XGBoost,2024-03-31,823.5144856000001,779.49585,44.01863599062506,44.01863599062506
3,12,XGBoost,2024-04-30,603.3620255000001,605.63,-2.2679793828124275,2.2679793828124275
3,12,XGBoost,2024-05-31,605.121396,621.09204,-15.970645015624996,15.970645015624996
3,12,XGBoost,2024-06-30,809.0369699,628.33923,180.69773650156253,180.69773650156253
4,12,XGBoost,2023-07-31,834.8537087,738.5072,96.34650655156247,96.34650655156247
4,12,XGBoost,2023-08-31,662.557178,725.8536,-63.29639866015623,63.29639866015623
4,12,XGBoost,2023-09-30,707.2282094,761.02496,-53.79675397890628,53.79675397890628
4,12,XGBoost,2023-10-31,1041.4344492999999,946.83563,94.59881697578112,94.59881697578112
4,12,XGBoost,2023-11-30,897.8106438,717.21533,180.59531176874998,180.59531176874998
4,12,XGBoost,2023-12-31,1044.0805252,684.0644,360.01613311015626,360.01613311015626
4,12,XGBoost,2024-01-31,709.6264595,772.7243,-63.09784469921874,63.09784469921874
4,12,XGBoost,2024-02-29,693.8584719,906.23413,-212.37565895937496,212.37565895937496
4,12,XGBoost,2024-03-31,1001.0203061,839.6798,161.34049652968747,161.34049652968747
4,12,XGBoost,2024-04-30,872.4965758000001,805.04553,67.45104357343757,67.45104357343757
4,12,XGBoost,2024-05-31,898.7700419,750.52734,148.24269815000002,148.24269815000002
4,12,XGBoost,2024-06-30,970.0056213,738.5578,231.44782100703128,231.44782100703128
5,12,XGBoost,2023-07-31,925.8836251,847.1945,78.68910605703127,78.68910605703127
